Time,SPY,IEFA,VWO,EWJ,XLF,XLK,XLV,XLY,XLP,XLU,XLI,XLE,XLC,XLRE,XLB,BND,LQD,BNDX,SHV,HYG,GLD,SLV,PDBC,USO
2019-01-02,231.492233276367,48.0000534057617,33.4170799255371,47.4977645874023,21.7764720916748,59.0298919677734,78.4833526611328,95.2591018676758,44.5917625427246,44.7841262817383,59.576789855957,45.8373565673828,40.1536636352539,25.9590549468994,46.0689010620117,69.9805755615234,97.0390243530273,48.5178413391113,101.234893798828,63.2537879943848,121.330001831055,14.5600004196167,8.54524421691895,78.8000030517578
2019-01-03,225.968170166016,47.6847267150879,32.8931541442871,47.2278938293457,21.2869071960449,56.0507965087891,76.8897476196289,93.196533203125,44.3355979919434,44.775520324707,57.7639122009277,45.3827362060547,39.4817199707031,26.0790348052979,44.7625045776367,70.25390625,97.0818862915039,48.5178413391113,101.271583557129,63.2850112915039,122.430000305176,14.75,8.60741138458252,79.5999984741211
2019-01-04,233.537124633789,49.1299858093262,33.9322624206543,48.8285217285156,21.9940567016602,58.5349617004395,79.1834335327148,96.2808151245117,45.2807807922363,45.4385452270508,59.9541091918945,46.9268493652344,41.1807861328125,26.344705581665,46.522518157959,70.0423049926758,97.0218734741211,48.4731941223145,101.299133300781,64.3471984863281,121.440002441406,14.7299995422363,8.7317476272583,81.4400024414062
2019-01-07,235.378524780273,49.3664741516113,34.0021209716797,48.9494895935059,22.0212554931641,59.0584449768066,79.4874114990234,98.4579544067383,45.2189483642578,45.1285629272461,60.4418411254883,47.6244430541992,41.6511383056641,26.567533493042,46.6858215332031,69.9365081787109,97.0304412841797,48.3570709228516,101.299133300781,64.9719848632812,121.860000610352,14.6700000762939,8.7995662689209,82.3199996948242
2019-01-08,237.589920043945,49.7168388366699,34.194221496582,49.1821479797363,22.0393829345703,59.5533714294434,80.104606628418,99.5465087890625,45.6341285705566,45.6882553100586,61.2700614929199,47.9928398132324,42.3518905639648,27.0303230285645,47.175724029541,69.8483123779297,97.2448272705078,48.3213500976562,101.289947509766,65.3937225341797,121.529998779297,14.6899995803833,8.87303829193115,84
2019-01-09,238.70036315918,50.2511558532715,34.6919364929199,49.4520149230957,22.1481742858887,60.324333190918,80.4638671875,100.052597045898,45.2101135253906,45.4127159118652,61.6841583251953,48.7531356811523,42.409481048584,26.9189071655273,47.1938667297363,69.9453048706055,97.6135177612305,48.3481483459473,101.280776977539,65.4718246459961,122.309997558594,14.7799997329712,9.05954170227051,88.4000015258789
2019-01-10,239.542358398438,50.4088134765625,34.9538917541504,49.7498092651367,22.157247543335,60.5908203125,80.6204681396484,99.7661437988281,45.4751243591309,46.0068473815918,62.5215797424316,48.8942184448242,42.4958801269531,27.3474197387695,47.6111946105957,69.8042449951172,97.3562850952148,48.3660087585449,101.308296203613,65.7295837402344,121.589996337891,14.6000003814697,9.04823780059814,88.8000030517578
2019-01-11,239.634887695312,50.0759696960449,34.735595703125,49.1728401184082,22.2116394042969,60.4766159057617,80.8875885009766,99.8616256713867,45.6076316833496,45.8346405029297,62.4571723937988,48.6042137145996,42.2846984863281,27.3988361358643,47.4206695556641,69.9453048706055,97.5363388061523,48.4196014404297,101.335823059082,65.5186996459961,121.800003051758,14.6400003433228,9.01432800292969,87.1999969482422
2019-01-14,238.172897338867,49.8482360839844,34.4911117553711,48.9960250854492,22.3657627105713,59.9150543212891,79.9940643310547,99.2504959106445,45.3867874145508,44.8013610839844,62.4479637145996,48.4866485595703,42.1311073303223,27.313138961792,47.0577850341797,69.8835830688477,97.2791442871094,48.4196014404297,101.345016479492,65.3078308105469,122.089996337891,14.6599998474121,8.91825103759766,85.5199966430664
2019-01-15,240.902542114258,50.0847358703613,34.7181358337402,49.5916137695312,22.5652122497559,60.8192481994629,81.4311065673828,100.148101806641,45.8372955322266,45.3524284362793,62.2547187805176,48.6590766906738,42.8318481445312,27.6216621398926,46.749324798584,69.8924102783203,97.3391647338867,48.4999923706055,101.354187011719,65.5265045166016,121.879997253418,14.6000003814697,8.99737358093262,88
2019-01-16,241.48551940918,50.1898384094238,35.0586891174316,49.8335609436035,23.0457096099854,60.8763580322266,81.2837219238281,99.9189071655273,45.5899620056152,45.5160331726074,62.3191375732422,48.5963745117188,42.649471282959,27.7502193450928,46.9307708740234,69.9188385009766,97.5277862548828,48.5625,101.335823059082,65.6280288696289,122.269996643066,14.6300001144409,9.05389022827148,88.4800033569336
2019-01-17,243.317611694336,50.3912963867188,35.2245826721191,49.7311973571777,23.1726322174072,61.2665939331055,82.0022125244141,100.596878051758,45.7842979431152,45.7054748535156,63.3866119384766,49.0431442260742,42.8222541809082,27.8873405456543,47.7563514709473,69.839485168457,97.724983215332,48.5803871154785,101.363357543945,65.8076629638672,122.110000610352,14.5699996948242,9.05389022827148,88.2399978637695
2019-01-18,246.556182861328,50.8993339538574,35.4079551696777,50.3919258117676,23.5715351104736,62.199348449707,82.978645324707,101.991004943848,46.331974029541,45.7571449279785,64.5921401977539,50.0385894775391,43.1678314208984,27.9901809692383,48.5456275939941,69.7866058349609,97.8964767456055,48.5625,101.390892028809,65.9950942993164,121.019996643066,14.3699998855591,9.13866329193115,90.4800033569336
2019-01-22,243.225006103516,50.1635665893555,34.8141860961914,49.4892387390137,23.2995586395264,61.1523780822754,82.4075088500977,100.463203430176,45.9079666137695,45.8432388305664,63.2577781677246,48.949089050293,42.2750930786133,27.9387607574463,47.8742790222168,69.910026550293,98.0594177246094,48.6518249511719,101.381736755371,65.5577545166016,121.449996948242,14.3900003433228,9.08214664459229,88.9599990844727
